group,x_m,y_m
Group 1,-104.8252703795606,124.04510624065934
Group 1,-104.99212989210594,81.79103411558253
Group 1,-104.241262085768,76.6760674902206
Group 1,-98.06746012268503,74.78575373756935
Group 1,-93.31196401598868,72.56185520437275
Group 1,-87.38845132167397,73.67380447026373
Group 1,-81.96551716492894,76.00889793054455
Group 1,-92.8948152346751,68.5588378449018
Group 1,-86.72101327162528,75.4529232972454
Group 1,-92.2273771846264,72.22827042453473
Group 1,-96.89944353506668,68.6700327712787
Group 1,-101.2377908604826,64.8894052659762
Group 1,-107.07787379854123,62.6655067327796
Group 1,-113.50196503039245,61.44236253980439
Group 1,-127.10101530043283,53.547522747946715
Group 1,-118.25746113708881,58.88487922676977
Group 1,-123.59696553761093,57.43934518033345
Group 1,-129.85419725695,57.21695532757964
Group 1,-129.35361871941348,51.10123436199632
Group 1,-132.02337091964137,45.31909817695834
Group 1,-134.69312311990242,39.536961990505716
Group 1,-133.94225531359766,34.08841058530576
Group 1,-133.02452799474756,28.528664253021585
Group 1,-132.44051970092178,23.41369762765966
Group 1,-131.60622213832778,18.076341148836605
Group 1,-126.85072603163141,13.962128862281432
Group 1,-121.84494065616681,11.293450623577229
Group 1,-118.25746113708881,7.846407897405427
Group 1,-115.25398991180342,2.5090514185823753
Group 1,-113.41853527413637,-2.9394999873249006
Group 1,-111.66651039272541,-8.610441246693302
Group 1,-108.7464689236961,-13.503018018594105
Group 1,-107.07787379854123,-19.062764350878282
Group 1,-105.65956794215462,-24.06653604986331
Group 1,-99.31890646655948,-44.41520762564144
Group 1,-101.82179915430837,-36.74275768724489
Group 1,-98.31774939145329,-40.634580119631615
Group 1,-98.73489817273372,-45.860741672077765
Group 1,-96.98287329132276,-51.53168293073884
Group 1,-93.97940206603737,-55.86828507004782
Group 1,-92.81138547845217,-61.094446621786645
Group 1,-90.97593084078513,-66.65419295477815
Group 1,-88.389608396747,-71.9915494336012
Group 1,-86.88787278413746,-76.77293127983242
Group 1,-85.46956692771768,-81.77670297881745
Group 1,-84.05126107136422,-86.89166960417938
Group 1,-82.38266594620936,-91.78424637678751
Group 1,-80.1300625272619,-96.45443329522718
Group 1,-80.29692203974089,-102.01417962751135
Group 1,-75.6248556893338,-104.90524772038401
Group 1,-71.1196488514057,-100.67984050815926
Group 1,-66.36415274470934,-97.23279778198746
Group 1,-60.27378053784929,-94.67531446895283
Group 1,-56.185722481234784,-91.45066159624216
Group 1,-59.189193706520186,-87.11405945764051
Group 1,-60.94121858793114,-80.66475371221915
Group 1,-62.693243469308925,-74.99381245285075
Group 1,-62.94353273807718,-68.54450670742939
Group 1,-64.77898737581056,-63.763124861905496
Group 1,-67.28188006352627,-58.648158236543566
Group 1,-67.6990288448067,-53.19960683063629
Group 1,-69.45105372621765,-48.52941991148929
Group 1,-71.20307860762861,-43.19206343266624
Group 1,-67.03159079475802,-47.973445278897465
Group 1,-70.95278933886036,-44.52640255272566
Group 1,-76.20886398309322,-43.74803806596539
Group 1,-70.7025000700921,-45.860741672077765
